# 	ISO Metric profile			External (bolt thread)					Internal (nut thread)					Basic mm
#							Major Dia d=D	Pitch Dia d2=D2	Minor Dia d3		Minor Dia D1	Pitch Dia d2=D2	Major Dia d=D	
#Size	Designation	Simple Desig.	Pitch	Class	max	min	max	min	max	min	Class	min	max	min	max	min	max	Tap Drill
#1	2		3		4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0.25	M0.25x0.075	M0.25x0.075	0.075	6g	0.25	0.235	0.201	0.187	0.16	0.14	6H	0.172	0.208	0.201	0.215	0.255	0.276	0.175
0.3	M0.3x0.08	M0.3x0.08	0.08	6g	0.3	0.284	0.248	0.234	0.204	0.183	6H	0.217	0.254	0.248	0.262	0.306	0.327	0.22
0.3	M0.3x0.09	M0.3x0.09	0.09	6g	0.3	0.283	0.242	0.226	0.192	0.17	6H	0.206	0.247	0.242	0.257	0.306	0.33	0.21
0.35	M0.35x0.09	M0.35x0.09	0.09	6g	0.35	0.333	0.292	0.277	0.242	0.22	6H	0.256	0.297	0.292	0.307	0.356	0.38	0.26
0.4	M0.4x0.1	M0.4x0.1	0.1	6g	0.4	0.382	0.335	0.319	0.28	0.256	6H	0.296	0.34	0.335	0.351	0.407	0.432	0.3
0.45	M0.45x0.1	M0.45x0.1	0.1	6g	0.45	0.432	0.385	0.369	0.33	0.306	6H	0.346	0.39	0.385	0.401	0.457	0.482	0.35
0.5	M0.5x0.125	M0.5x0.125	0.125	6g	0.5	0.479	0.419	0.401	0.35	0.322	6H	0.37	0.422	0.419	0.437	0.509	0.538	0.375
0.55	M0.55x0.125	M0.55x0.125	0.125	6g	0.55	0.529	0.469	0.451	0.4	0.372	6H	0.42	0.472	0.469	0.487	0.559	0.588	0.425
0.6	M0.6x0.15	M0.6x0.15	0.15	6g	0.6	0.576	0.503	0.483	0.42	0.388	6H	0.444	0.504	0.503	0.523	0.611	0.644	0.45
0.7	M0.7x0.175	M0.7x0.175	0.175	6g	0.7	0.673	0.586	0.564	0.49	0.454	6H	0.518	0.586	0.586	0.608	0.713	0.75	0.525
0.8	M0.8x0.2	M0.8x0.2	0.2	6g	0.8	0.77	0.67	0.646	0.56	0.52	6H	0.592	0.668	0.67	0.694	0.814	0.856	0.6
0.9	M0.9x0.225	M0.9x0.225	0.225	6g	0.9	0.867	0.754	0.728	0.63	0.586	6H	0.666	0.75	0.754	0.78	0.916	0.962	0.675
1	M1x0.25	M1	0.25	6g	0.982	0.915	0.82	0.767	0.711	0.613	6H	0.729	0.809	0.838	0.909	1	1.107	0.75
1	M1x0.2	M1x0.2	0.2	6g	0.983	0.927	0.853	0.805	0.766	0.682	6H	0.783	0.858	0.87	0.933	1	1.092	0.8
1.1	M1.1x0.25	M1.1x0.25	0.25	6g	1.082	1.015	0.92	0.867	0.811	0.713	6H	0.829	0.909	0.938	1.009	1.1	1.207	0.85
1.1	M1.1x0.2	M1.1x0.2	0.2	6g	1.083	1.027	0.953	0.905	0.866	0.782	6H	0.883	0.958	0.97	1.033	1.1	1.192	0.9
1.2	M1.2x0.25	M1.2	0.25	6g	1.182	1.115	1.02	0.967	0.911	0.813	6H	0.929	1.009	1.038	1.109	1.2	1.307	0.95
1.2	M1.2x0.2	M1.2x0.2	0.2	6g	1.183	1.127	1.053	1.005	0.966	0.882	6H	0.983	1.058	1.07	1.133	1.2	1.292	1
1.4	M1.4x0.3	M1.4	0.3	6g	1.383	1.308	1.253	1.193	1.166	1.07	6H	1.183	1.258	1.27	1.35	1.4	1.509	1.1
1.4	M1.4x0.2	M1.4x0.2	0.2	6g	1.383	1.327	1.253	1.205	1.166	1.082	6H	1.183	1.258	1.27	1.333	1.4	1.492	1.2
1.6	M1.6x0.35	M1.6	0.35	6g	1.581	1.496	1.354	1.291	1.202	1.075	6H	1.221	1.321	1.373	1.458	1.6	1.736	1.25
1.6	M1.6x0.3	M1.6x0.3	0.3	6g	1.582	1.507	1.387	1.342	1.257	1.157	6H	1.275	1.36	1.405	1.465	1.6	1.703	1.3
1.6	M1.6x0.2	M1.6x0.2	0.2	6g	1.583	1.527	1.453	1.403	1.366	1.28	6H	1.383	1.458	1.47	1.537	1.6	1.696	1.4
1.7	M1.7x0.35	M1.7x0.35	0.35	6g	1.681	1.596	1.454	1.391	1.302	1.175	6H	1.321	1.421	1.473	1.558	1.7	1.836	1.35
1.8	M1.8x0.35	M1.8	0.35	6g	1.781	1.696	1.554	1.491	1.402	1.275	6H	1.421	1.521	1.573	1.658	1.8	1.936	1.45
1.8	M1.8x0.2	M1.8x0.2	0.2	6g	1.783	1.727	1.653	1.603	1.566	1.48	6H	1.583	1.658	1.67	1.737	1.8	1.896	1.6
2	M2x0.4	M2	0.4	6g	1.981	1.886	1.721	1.654	1.548	1.408	6H	1.567	1.679	1.74	1.83	2	2.148	1.6
2	M2x0.25	M2x0.25	0.25	6g	1.982	1.915	1.82	1.764	1.711	1.61	6H	1.729	1.809	1.838	1.913	2	2.111	1.75
2.2	M2.2x0.45	M2.2	0.45	6g	2.18	2.08	1.888	1.817	1.693	1.54	6H	1.713	1.838	1.908	2.003	2.2	2.36	1.75
2.2	M2.2x0.25	M2.2x0.25	0.25	6g	2.182	2.115	2.02	1.964	1.911	1.81	6H	1.929	2.009	2.038	2.113	2.2	2.311	1.95
2.3	M2.3x0.45	M2.3x0.45	0.45	6g	2.28	2.18	1.988	1.917	1.793	1.64	6H	1.813	1.938	2.008	2.103	2.3	2.46	1.85
2.3	M2.3x0.4	M2.3x0.4	0.4	6g	2.281	2.186	2.021	1.954	1.848	1.708	6H	1.867	1.979	2.04	2.13	2.3	2.448	1.9
2.5	M2.5x0.45	M2.5	0.45	6g	2.48	2.38	2.188	2.117	1.993	1.84	6H	2.013	2.138	2.208	2.303	2.5	2.66	2.05
2.5	M2.5x0.35	M2.5x0.35	0.35	6g	2.481	2.396	2.254	2.191	2.102	1.975	6H	2.121	2.221	2.273	2.358	2.5	2.636	2.15
2.6	M2.6x0.45	M2.6x0.45	0.45	6g	2.58	2.48	2.288	2.217	2.093	1.94	6H	2.113	2.238	2.308	2.393	2.6	2.75	2.15
3	M3x0.5	M3	0.5	6g	2.98	2.874	2.655	2.58	2.439	2.272	6H	2.459	2.599	2.675	2.775	3	3.172	2.5
3	M3x0.35	M3x0.35	0.35	6g	2.981	2.896	2.754	2.687	2.602	2.471	6H	2.621	2.721	2.773	2.863	3	3.141	2.65
3.5	M3.5x0.6	M3.5	0.6	6g	3.479	3.354	3.089	3.004	2.829	2.635	6H	2.85	3.01	3.11	3.222	3.5	3.699	2.9
3.5	M3.5x0.35	M3.5x0.35	0.35	6g	3.481	3.396	3.254	3.187	3.102	2.971	6H	3.121	3.221	3.273	3.363	3.5	3.641	3.15
4	M4x0.7	M4	0.7	6g	3.978	3.838	3.523	3.433	3.22	3.002	6H	3.242	3.422	3.545	3.663	4	4.219	3.3
4	M4x0.5	M4x0.5	0.5	6g	3.98	3.874	3.655	3.58	3.439	3.272	6H	3.459	3.599	3.675	3.775	4	4.172	3.5
4.5	M4.5x0.75	M4.5x0.75	0.75	6g	4.478	4.338	3.991	3.901	3.666	3.439	6H	3.688	3.878	4.013	4.131	4.5	4.726	3.75
4.5	M4.5x0.5	M4.5x0.5	0.5	6g	4.48	4.374	4.155	4.08	3.939	3.772	6H	3.959	4.099	4.175	4.275	4.5	4.672	4
5	M5x0.8	M5	0.8	6g	4.976	4.826	4.456	4.361	4.11	3.869	6H	4.134	4.334	4.48	4.605	5	5.24	4.2
5	M5x0.5	M5x0.5	0.5	6g	4.98	4.874	4.655	4.58	4.439	4.272	6H	4.459	4.599	4.675	4.775	5	5.172	4.5
5.5	M5.5x0.5	M5.5x0.5	0.5	6g	5.48	5.374	5.155	5.065	4.939	4.757	6H	4.959	5.099	5.175	5.295	5.5	5.692	5
6	M6x1	M6	1	6g	5.974	5.794	5.324	5.212	4.891	4.596	6H	4.917	5.153	5.35	5.5	6	6.294	5
6	M6x0.8	M6x0.8	0.8	6g	5.976	5.826	5.456	5.376	5.11	4.884	6H	5.134	5.334	5.48	5.586	6	6.221	5.2
6	M6x0.75	M6x0.75	0.75	6g	5.978	5.838	5.491	5.391	5.166	4.929	6H	5.188	5.378	5.513	5.645	6	6.24	5.25
6	M6x0.7	M6x0.7	0.7	6g	5.978	5.838	5.523	5.428	5.22	4.997	6H	5.242	5.422	5.545	5.671	6	6.226	5.3
6	M6x0.5	M6x0.5	0.5	6g	5.98	5.874	5.655	5.57	5.439	5.262	6H	5.459	5.599	5.675	5.787	6	6.184	5.5
7	M7x1	M7	1	6g	6.974	6.794	6.324	6.212	5.891	5.596	6H	5.917	6.153	6.35	6.5	7	7.294	6
7	M7x0.75	M7x0.75	0.75	6g	6.978	6.838	6.491	6.391	6.166	5.929	6H	6.188	6.378	6.513	6.645	7	7.24	6.25
7	M7x0.5	M7x0.5	0.5	6g	6.98	6.874	6.655	6.57	6.439	6.262	6H	6.459	6.599	6.675	6.787	7	7.184	6.5
8	M8x1.25	M8	1.25	6g	7.972	7.76	7.16	7.042	6.619	6.272	6H	6.647	6.912	7.188	7.348	8	8.34	6.75
8	M8x1	M8x1	1	6g	7.974	7.794	7.324	7.212	6.891	6.596	6H	6.917	7.153	7.35	7.5	8	8.294	7
8	M8x0.8	M8x0.8	0.8	6g	7.976	7.826	7.456	7.35	7.11	6.858	6H	7.134	7.334	7.48	7.62	8	8.255	7.2
8	M8x0.75	M8x0.75	0.75	6g	7.978	7.838	7.491	7.391	7.166	6.929	6H	7.188	7.378	7.513	7.645	8	8.24	7.25
8	M8x0.5	M8x0.5	0.5	6g	7.98	7.874	7.655	7.57	7.439	7.262	6H	7.459	7.599	7.675	7.787	8	8.184	7.5
9	M9x1.25	M9x1.25	1.25	6g	8.972	8.76	8.16	8.042	7.619	7.272	6H	7.647	7.912	8.188	8.348	9	9.34	7.75
9	M9x1	M9x1	1	6g	8.974	8.794	8.324	8.212	7.891	7.596	6H	7.917	8.153	8.35	8.498	9	9.292	8
9	M9x0.75	M9x0.75	0.75	6g	8.978	8.838	8.491	8.391	8.166	7.929	6H	8.188	8.378	8.513	8.645	9	9.24	8.25
9	M9x0.5	M9x0.5	0.5	6g	8.98	8.874	8.655	8.57	8.439	8.262	6H	8.459	8.599	8.675	8.787	9	9.184	8.5
10	M10x1.5	M10	1.5	6g	9.968	9.732	8.994	8.862	8.344	7.938	6H	8.376	8.676	9.026	9.206	10	10.396	8.5
10	M10x1.25	M10x1.25	1.25	6g	9.972	9.76	9.16	9.042	8.619	8.272	6H	8.647	8.912	9.188	9.348	10	10.34	8.75
10	M10x1.12	M10x1.12	1.12	6g	9.973	9.783	9.246	9.128	8.761	8.438	6H	8.788	9.038	9.273	9.433	10	10.322	8.88
10	M10x1	M10x1	1	6g	9.974	9.794	9.324	9.212	8.891	8.596	6H	8.917	9.153	9.35	9.5	10	10.294	9
10	M10x0.75	M10x0.75	0.75	6g	9.978	9.838	9.491	9.391	9.166	8.929	6H	9.188	9.378	9.513	9.645	10	10.24	9.25
10	M10x0.5	M10x0.5	0.5	6g	9.98	9.874	9.655	9.57	9.439	9.262	6H	9.459	9.599	9.675	9.787	10	10.184	9.5
11	M11x1.5	M11x1.5	1.5	6g	10.97	10.73	9.994	9.862	9.344	8.938	6H	9.376	9.676	10.026	10.196	11	11.387	9.5
11	M11x1	M11x1	1	6g	10.97	10.79	10.32	10.21	9.891	9.596	6H	9.917	10.153	10.35	10.5	11	11.294	10
11	M11x0.75	M11x0.75	0.75	6g	10.98	10.84	10.49	10.39	10.166	9.929	6H	10.188	10.378	10.513	10.645	11	11.24	10.25
11	M11x0.5	M11x0.5	0.5	6g	10.98	10.87	10.66	10.57	10.439	10.262	6H	10.459	10.599	10.675	10.787	11	11.184	10.5
12	M12x1.75	M12	1.75	6g	11.97	11.7	10.83	10.68	10.072	9.601	6H	10.106	10.441	10.863	11.063	12	12.453	10.25
12	M12x1.5	M12x1.5	1.5	6g	11.97	11.73	10.99	10.85	10.344	9.93	6H	10.376	10.676	11.026	11.216	12	12.406	10.5
12	M12x1.25	M12x1.25	1.25	6g	11.97	11.76	11.16	11.03	10.619	10.258	6H	10.647	10.912	11.188	11.368	12	12.36	10.75
12	M12x1	M12x1	1	6g	11.97	11.79	11.32	11.21	10.891	10.59	6H	10.917	11.153	11.35	11.51	12	12.304	11
12	M12x0.75	M12x0.75	0.75	6g	11.98	11.84	11.49	11.39	11.166	10.923	6H	11.188	11.378	11.513	11.653	12	12.248	11.25
12	M12x0.5	M12x0.5	0.5	6g	11.98	11.87	11.66	11.57	11.439	11.257	6H	11.459	11.599	11.675	11.795	12	12.192	11.5
14	M14x2	M14	2	6g	13.96	13.68	12.66	12.5	11.797	11.271	6H	11.835	12.21	12.701	12.913	14	14.501	12
14	M14x1.5	M14x1.5	1.5	6g	13.97	13.73	12.99	12.85	12.344	11.93	6H	12.376	12.676	13.026	13.216	14	14.406	12.5
14	M14x1.25	M14x1.25	1.25	6g	13.97	13.76	13.16	13.03	12.619	12.258	6H	12.647	12.912	13.188	13.358	14	14.35	12.75
14	M14x1	M14x1	1	6g	13.97	13.79	13.32	13.21	12.891	12.59	6H	12.917	13.153	13.35	13.51	14	14.304	13
14	M14x0.75	M14x0.75	0.75	6g	13.98	13.84	13.49	13.39	13.166	12.923	6H	13.188	13.378	13.513	13.653	14	14.248	13.25
14	M14x0.5	M14x0.5	0.5	6g	13.98	13.87	13.66	13.57	13.439	13.257	6H	13.459	13.599	13.675	13.795	14	14.192	13.5
15	M15x1.5	M15x1.5	1.5	6g	14.97	14.73	13.99	13.85	13.344	12.93	6H	13.376	13.676	14.026	14.216	15	15.407	13.5
15	M15x1	M15x1	1	6g	14.97	14.79	14.32	14.21	13.891	13.59	6H	13.917	14.153	14.35	14.51	15	15.304	14
16	M16x2	M16	2	6g	15.96	15.68	14.66	14.5	13.797	13.271	6H	13.835	14.21	14.701	14.913	16	16.501	14
16	M16x1.6	M16x1.6	1.6	6g	15.97	15.76	14.93	14.82	14.236	13.838	6H	14.268	14.568	14.961	15.101	16	16.371	14.4
16	M16x1.5	M16x1.5	1.5	6g	15.97	15.73	14.99	14.85	14.344	13.93	6H	14.376	14.676	15.026	15.216	16	16.406	14.5
16	M16x1.25	M16x1.25	1.25	6g	15.97	15.76	15.16	15.03	14.619	14.258	6H	14.647	14.912	15.188	15.358	16	16.35	14.75
16	M16x1	M16x1	1	6g	15.97	15.79	15.32	15.21	14.891	14.59	6H	14.917	15.153	15.35	15.51	16	16.304	15
16	M16x0.75	M16x0.75	0.75	6g	15.98	15.84	15.49	15.39	15.166	14.923	6H	15.188	15.378	15.513	15.653	16	16.248	15.25
16	M16x0.5	M16x0.5	0.5	6g	15.98	15.87	15.66	15.57	15.439	15.257	6H	15.459	15.599	15.675	15.795	16	16.192	15.5
17	M17x1.5	M17x1.5	1.5	6g	16.97	16.73	15.99	15.85	15.344	14.93	6H	15.376	15.676	16.026	16.216	17	17.407	15.5
17	M17x1	M17x1	1	6g	16.97	16.79	16.32	16.21	15.891	15.59	6H	15.917	16.153	16.35	16.51	17	17.304	16
18	M18x2.5	M18	2.5	6g	17.96	17.62	16.33	16.16	15.252	14.624	6H	15.294	15.744	16.376	16.601	18	18.585	15.5
18	M18x2	M18x2	2	6g	17.96	17.68	16.66	16.5	15.797	15.271	6H	15.835	16.21	16.701	16.913	18	18.501	16
18	M18x1.5	M18x1.5	1.5	6g	17.97	17.73	16.99	16.85	16.344	15.93	6H	16.376	16.676	17.026	17.216	18	18.406	16.5
18	M18x1.25	M18x1.25	1.25	6g	17.97	17.76	17.16	17.03	16.619	16.258	6H	16.647	16.912	17.188	17.358	18	18.35	16.75
18	M18x1	M18x1	1	6g	17.97	17.79	17.32	17.21	16.891	16.59	6H	16.917	17.153	17.35	17.51	18	18.304	17
18	M18x0.75	M18x0.75	0.75	6g	17.98	17.84	17.49	17.39	17.166	16.923	6H	17.188	17.378	17.513	17.653	18	18.248	17.25
18	M18x0.5	M18x0.5	0.5	6g	17.98	17.87	17.66	17.57	17.439	17.257	6H	17.459	17.599	17.675	17.795	18	18.192	17.5
20	M20x2.5	M20	2.5	6g	19.96	19.62	18.33	18.16	17.252	16.624	6H	17.294	17.744	18.376	18.6	20	20.585	17.5
20	M20x2	M20x2	2	6g	19.96	19.68	18.66	18.5	17.797	17.271	6H	17.835	18.21	18.701	18.913	20	20.501	18
20	M20x1.5	M20x1.5	1.5	6g	19.97	19.73	18.99	18.85	18.344	17.93	6H	18.376	18.676	19.026	19.216	20	20.406	18.5
20	M20x1	M20x1	1	6g	19.97	19.79	19.32	19.21	18.891	18.59	6H	18.917	19.153	19.35	19.51	20	20.304	19
20	M20x0.75	M20x0.75	0.75	6g	19.98	19.84	19.49	19.39	19.166	18.923	6H	19.188	19.378	19.513	19.653	20	20.248	19.25
20	M20x0.5	M20x0.5	0.5	6g	19.98	19.87	19.66	19.57	19.439	19.257	6H	19.459	19.599	19.675	19.795	20	20.192	19.5
22	M22x3	M22x3	3	6g	21.95	21.58	20	19.82	18.704	17.97	6H	18.752	19.252	20.051	20.296	22	22.677	19
22	M22x2.5	M22	2.5	6g	21.96	21.62	20.33	20.16	19.252	18.624	6H	19.294	19.744	20.376	20.6	22	22.585	19.5
22	M22x2	M22x2	2	6g	21.96	21.68	20.66	20.5	19.797	19.271	6H	19.835	20.21	20.701	20.913	22	22.501	20
22	M22x1.5	M22x1.5	1.5	6g	21.97	21.73	20.99	20.85	20.344	19.93	6H	20.376	20.676	21.026	21.216	22	22.406	20.5
22	M22x1	M22x1	1	6g	21.97	21.79	21.32	21.21	20.891	20.59	6H	20.917	21.153	21.35	21.51	22	22.304	21
22	M22x0.75	M22x0.75	0.75	6g	21.98	21.84	21.49	21.39	21.166	20.923	6H	21.188	21.378	21.513	21.653	22	22.248	21.25
22	M22x0.5	M22x0.5	0.5	6g	21.98	21.87	21.66	21.57	21.439	21.257	6H	21.459	21.599	21.675	21.795	22	22.192	21.5
24	M24x3	M24	3	6g	23.95	23.58	22	21.8	20.704	19.955	6H	20.752	21.252	22.051	22.316	24	24.698	21
24	M24x2.5	M24x2.5	2.5	6g	23.96	23.62	22.33	22.14	21.252	20.604	6H	21.294	21.744	22.376	22.626	24	24.611	21.5
24	M24x2	M24x2	2	6g	23.96	23.68	22.66	22.49	21.797	21.261	6H	21.835	22.21	22.701	22.925	24	24.513	22
24	M24x1.5	M24x1.5	1.5	6g	23.97	23.73	22.99	22.84	22.344	21.92	6H	22.376	22.676	23.026	23.226	24	24.417	22.5
24	M24x1	M24x1	1	6g	23.97	23.79	23.32	23.2	22.891	22.583	6H	22.917	23.153	23.35	23.52	24	24.314	23
24	M24x0.75	M24x0.75	0.75	6g	23.98	23.84	23.49	23.38	23.166	22.917	6H	23.188	23.378	23.513	23.663	24	24.258	23.25
25	M25x2	M25x2	2	6g	24.96	24.68	23.66	23.49	22.797	22.261	6H	22.835	23.21	23.701	23.925	25	25.513	23
25	M25x1.5	M25x1.5	1.5	6g	24.97	24.73	23.99	23.84	23.344	22.92	6H	23.376	23.676	24.026	24.226	25	25.416	23.5
25	M25x1	M25x1	1	6g	24.97	24.79	24.32	24.2	23.891	23.583	6H	23.917	24.153	24.35	24.52	25	25.314	24
26	M26x1.5	M26x1.5	1.5	6g	25.97	25.73	24.99	24.84	24.344	23.92	6H	24.376	24.676	25.026	25.226	26	26.417	24.5
27	M27x3	M27	3	6g	26.95	26.58	25	24.8	23.704	22.955	6H	23.752	24.252	25.051	25.316	27	27.698	24
27	M27x2	M27x2	2	6g	26.96	26.68	25.66	25.49	24.797	24.261	6H	24.835	25.21	25.701	25.925	27	27.513	25
27	M27x1.5	M27x1.5	1.5	6g	26.97	26.73	25.99	25.84	25.344	24.92	6H	25.376	25.676	26.026	26.226	27	27.417	25.5
27	M27x1	M27x1	1	6g	26.97	26.79	26.32	26.2	25.891	25.583	6H	25.917	26.153	26.35	26.52	27	27.314	26
27	M27x0.75	M27x0.75	0.75	6g	26.98	26.84	26.49	26.38	26.166	25.917	6H	26.188	26.378	26.513	26.663	27	27.258	26.25
28	M28x2	M28x2	2	6g	27.96	27.68	26.66	26.49	25.797	25.261	6H	25.835	26.21	26.701	26.925	28	28.513	26
28	M28x1.5	M28x1.5	1.5	6g	27.97	27.73	26.99	26.84	26.344	25.92	6H	26.376	26.676	27.026	27.226	28	28.417	26.5
28	M28x1	M28x1	1	6g	27.97	27.79	27.32	27.2	26.891	26.583	6H	26.917	27.153	27.35	27.52	28	28.314	27
30	M30x3.5	M30	3.5	6g	29.95	29.52	27.67	27.46	26.158	25.306	6H	26.211	26.771	27.727	28.007	30	30.785	26.5
30	M30x3	M30x3	3	6g	29.95	29.58	28	27.8	26.704	25.955	6H	26.752	27.252	28.051	28.316	30	30.698	27
30	M30x2.5	M30x2.5	2.5	6g	29.96	29.62	28.33	28.14	27.252	26.604	6H	27.294	27.744	28.376	28.626	30	30.611	27.5
30	M30x2	M30x2	2	6g	29.96	29.68	28.66	28.49	27.797	27.261	6H	27.835	28.21	28.701	28.925	30	30.513	28
30	M30x1.5	M30x1.5	1.5	6g	29.97	29.73	28.99	28.84	28.344	27.92	6H	28.376	28.676	29.026	29.226	30	30.416	28.5
30	M30x1	M30x1	1	6g	29.97	29.79	29.32	29.2	28.891	28.583	6H	28.917	29.153	29.35	29.52	30	30.314	29
30	M30x0.75	M30x0.75	0.75	6g	29.98	29.84	29.49	29.38	29.166	28.917	6H	29.188	29.378	29.513	29.663	30	30.258	29.25
32	M32x2	M32x2	2	6g	31.96	31.68	30.66	30.49	29.797	29.261	6H	29.835	30.21	30.701	30.925	32	32.513	30
32	M32x1.5	M32x1.5	1.5	6g	31.97	31.73	30.99	30.84	30.344	29.92	6H	30.376	30.676	31.026	31.226	32	32.417	30.5
33	M33x3.5	M33	3.5	6g	32.97	32.54	30.7	30.48	29.179	28.327	6H	29.211	29.771	30.727	31.007	33	33.785	29.5
33	M33x3	M33x3	3	6g	32.95	32.58	31	30.8	29.704	28.955	6H	29.752	30.252	31.051	31.316	33	33.698	30
33	M33x2	M33x2	2	6g	32.96	32.68	31.66	31.49	30.797	30.261	6H	30.835	31.21	31.701	31.925	33	33.513	31
33	M33x1.5	M33x1.5	1.5	6g	32.97	32.73	31.99	31.84	31.344	30.92	6H	31.376	31.676	32.026	32.226	33	33.417	31.5
33	M33x1	M33x1	1	6g	32.97	32.79	32.32	32.2	31.891	31.583	6H	31.917	32.153	32.35	32.52	33	33.314	32
33	M33x0.75	M33x0.75	0.75	6g	32.98	32.84	32.49	32.38	32.166	31.917	6H	32.188	32.378	32.513	32.663	33	33.258	32.25
35	M35x1.5	M35x1.5	1.5	6g	34.97	34.73	33.99	33.84	33.344	32.92	6H	33.376	33.676	34.026	34.226	35	35.416	33.5
36	M36x4	M36	4	6g	35.94	35.47	33.34	33.12	31.61	30.654	6H	31.67	32.27	33.402	33.702	36	36.877	32
36	M36x3	M36x3	3	6g	35.95	35.58	34	33.8	32.704	31.955	6H	32.752	33.252	34.051	34.316	36	36.698	33
36	M36x2	M36x2	2	6g	35.96	35.68	34.66	34.49	33.797	33.261	6H	33.835	34.21	34.701	34.925	36	36.513	34
36	M36x1.5	M36x1.5	1.5	6g	35.97	35.73	34.99	34.84	34.344	33.92	6H	34.376	34.676	35.026	35.226	36	36.417	34.5
36	M36x1	M36x1	1	6g	35.97	35.79	35.32	35.2	34.891	34.583	6H	34.917	35.153	35.35	35.52	36	36.314	35
38	M38x1.5	M38x1.5	1.5	6g	37.97	37.73	36.99	36.84	36.344	35.92	6H	36.376	36.676	37.026	37.226	38	38.417	36.5
39	M39x4	M39	4	6g	38.94	38.47	36.34	36.12	34.61	33.654	6H	34.67	35.27	36.402	36.702	39	39.877	35
39	M39x3	M39x3	3	6g	38.95	38.58	37	36.8	35.704	34.955	6H	35.752	36.252	37.051	37.316	39	39.698	36
39	M39x2	M39x2	2	6g	38.96	38.68	37.66	37.49	36.797	36.261	6H	36.835	37.21	37.701	37.925	39	39.513	37
39	M39x1.5	M39x1.5	1.5	6g	38.97	38.73	37.99	37.84	37.344	36.92	6H	37.376	37.676	38.026	38.226	39	39.417	37.5
39	M39x1	M39x1	1	6g	38.97	38.79	38.32	38.2	37.891	37.583	6H	37.917	38.153	38.35	38.52	39	39.314	38
40	M40x3	M40x3	3	6g	39.95	39.58	38	37.8	36.704	35.955	6H	36.752	37.252	38.051	38.316	40	40.698	37
40	M40x2.5	M40x2.5	2.5	6g	39.96	39.62	38.33	38.14	37.252	36.604	6H	37.294	37.744	38.376	38.626	40	40.611	37.5
