# 	ISO Metric profile			External (bolt thread)					Internal (nut thread)					Basic mm
145	M145x1.5	M145x1.5	1.5	6g	145	144.7	144	143.8	143.34	142.89	6H	143.38	143.68	144.03	144.26	145	145.45	143.5
150	M150x8	M150x8	8	6g	149.9	149.2	144.7	144.4	141.24	139.44	6H	141.34	142.34	144.8	145.25	150	151.61	142
150	M150x6	M150x6	6	6g	149.9	149.3	146	145.7	143.43	142.03	6H	143.51	144.31	146.1	146.5	150	151.27	144
150	M150x4	M150x4	4	6g	149.9	149.5	147.3	147.1	145.61	144.63	6H	145.67	146.27	147.4	147.74	150	150.91	146
150	M150x3	M150x3	3	6g	150	149.6	148	147.8	146.7	145.93	6H	146.75	147.25	148.05	148.35	150	150.73	147
150	M150x2	M150x2	2	6g	150	149.7	148.7	148.5	147.8	147.24	6H	147.84	148.21	148.7	148.95	150	150.54	148
150	M150x1.5	M150x1.5	1.5	6g	150	149.7	149	148.8	148.34	147.89	6H	148.38	148.68	149.03	149.26	150	150.45	148.5
155	M155x6	M155x6	6	6g	154.9	154.3	151	150.7	148.43	147.03	6H	148.51	149.31	151.1	151.5	155	156.27	149
155	M155x4	M155x4	4	6g	154.9	154.5	152.3	152.1	150.61	149.63	6H	150.67	151.27	152.4	152.74	155	155.91	151
155	M155x3	M155x3	3	6g	155	154.6	153	152.8	151.7	150.93	6H	151.75	152.25	153.05	153.35	155	155.73	152
155	M155x2	M155x2	2	6g	155	154.7	153.7	153.5	152.8	152.24	6H	152.84	153.21	153.7	153.95	155	155.54	153
160	M160x8	M160x8	8	6g	159.9	159.2	154.7	154.4	151.24	149.44	6H	151.34	152.34	154.8	155.25	160	161.61	152
160	M160x6	M160x6	6	6g	159.9	159.3	156	155.7	153.43	152.03	6H	153.51	154.31	156.1	156.5	160	161.27	154
160	M160x4	M160x4	4	6g	159.9	159.5	157.3	157.1	155.61	154.63	6H	155.67	156.27	157.4	157.74	160	160.91	156
160	M160x3	M160x3	3	6g	160	159.6	158	157.8	156.7	155.93	6H	156.75	157.25	158.05	158.35	160	160.73	157
160	M160x2	M160x2	2	6g	160	159.7	158.7	158.5	157.8	157.24	6H	157.84	158.21	158.7	158.95	160	160.54	158
165	M165x6	M165x6	6	6g	164.9	164.3	161	160.7	158.43	157.03	6H	158.51	159.31	161.1	161.5	165	166.27	159
165	M165x4	M165x4	4	6g	164.9	164.5	162.3	162.1	160.61	159.63	6H	160.67	161.27	162.4	162.74	165	165.91	161
165	M165x3	M165x3	3	6g	165	164.6	163	162.8	161.7	160.93	6H	161.75	162.25	163.05	163.35	165	165.73	162
165	M165x2	M165x2	2	6g	165	164.7	163.7	163.5	162.8	162.24	6H	162.84	163.21	163.7	163.95	165	165.54	163
170	M170x8	M170x8	8	6g	169.9	169.2	164.7	164.4	161.24	159.44	6H	161.34	162.34	164.8	165.25	170	171.61	162
170	M170x6	M170x6	6	6g	169.9	169.3	166	165.7	163.43	162.03	6H	163.51	164.31	166.1	166.5	170	171.27	164
170	M170x4	M170x4	4	6g	169.9	169.5	167.3	167.1	165.61	164.63	6H	165.67	166.27	167.4	167.74	170	170.91	166
170	M170x3	M170x3	3	6g	170	169.6	168	167.8	166.7	165.93	6H	166.75	167.25	168.05	168.35	170	170.73	167
170	M170x2	M170x2	2	6g	170	169.7	168.7	168.5	167.8	167.24	6H	167.84	168.21	168.7	168.95	170	170.54	168
175	M175x6	M175x6	6	6g	174.9	174.3	171	170.7	168.43	167.03	6H	168.51	169.31	171.1	171.5	175	176.27	169
175	M175x4	M175x4	4	6g	174.9	174.5	172.3	172.1	170.61	169.63	6H	170.67	171.27	172.4	172.74	175	175.91	171
175	M175x3	M175x3	3	6g	175	174.6	173	172.8	171.7	170.93	6H	171.75	172.25	173.05	173.35	175	175.73	172
175	M175x2	M175x2	2	6g	175	174.7	173.7	173.5	172.8	172.24	6H	172.84	173.21	173.7	173.95	175	175.54	173
180	M180x8	M180x8	8	6g	179.9	179.2	174.7	174.4	171.24	169.44	6H	171.34	172.34	174.8	175.25	180	181.61	172
180	M180x6	M180x6	6	6g	179.9	179.3	176	175.7	173.43	172.03	6H	173.51	174.31	176.1	176.5	180	181.27	174
180	M180x4	M180x4	4	6g	179.9	179.5	177.3	177.1	175.61	174.63	6H	175.67	176.27	177.4	177.74	180	180.91	176
180	M180x3	M180x3	3	6g	180	179.6	178	177.8	176.7	175.93	6H	176.75	177.25	178.05	178.35	180	180.73	177
180	M180x2	M180x2	2	6g	180	179.7	178.7	178.5	177.8	177.24	6H	177.84	178.21	178.7	178.95	180	180.54	178
185	M185x6	M185x6	6	6g	184.9	184.3	181	180.7	178.43	177.01	6H	178.51	179.31	181.1	181.53	185	186.29	179
185	M185x4	M185x4	4	6g	184.9	184.5	182.3	182.1	180.61	179.6	6H	180.67	181.27	182.4	182.78	185	185.95	181
185	M185x3	M185x3	3	6g	185	184.6	183	182.8	181.7	180.91	6H	181.75	182.25	183.05	183.39	185	185.77	182
185	M185x2	M185x2	2	6g	185	184.7	183.7	183.5	182.8	182.22	6H	182.84	183.21	183.7	183.98	185	185.57	183
190	M190x8	M190x8	8	6g	189.9	189.2	184.7	184.3	181.24	179.42	6H	181.34	182.34	184.8	185.28	190	191.63	182
190	M190x6	M190x6	6	6g	189.9	189.3	186	185.7	183.43	182.01	6H	183.51	184.31	186.1	186.53	190	191.29	184
190	M190x4	M190x4	4	6g	189.9	189.5	187.3	187.1	185.61	184.6	6H	185.67	186.27	187.4	187.78	190	190.95	186
190	M190x3	M190x3	3	6g	190	189.6	188	187.8	186.7	185.91	6H	186.75	187.25	188.05	188.39	190	190.77	187
190	M190x2	M190x2	2	6g	190	189.7	188.7	188.5	187.8	187.22	6H	187.84	188.21	188.7	188.98	190	190.57	188
195	M195x6	M195x6	6	6g	194.9	194.3	191	190.7	188.43	187.01	6H	188.51	189.31	191.1	191.53	195	196.29	189
195	M195x4	M195x4	4	6g	194.9	194.5	192.3	192.1	190.61	189.6	6H	190.67	191.27	192.4	192.78	195	195.95	191
195	M195x3	M195x3	3	6g	195	194.6	193	192.8	191.7	190.91	6H	191.75	192.25	193.05	193.39	195	195.77	192
195	M195x2	M195x2	2	6g	195	194.7	193.7	193.5	192.8	192.22	6H	192.84	193.21	193.7	193.98	195	195.57	193
200	M200x8	M200x8	8	6g	199.9	199.2	194.7	194.3	191.24	189.42	6H	191.34	192.34	194.8	195.28	200	201.63	192
200	M200x6	M200x6	6	6g	199.9	199.3	196	195.7	193.43	192.01	6H	193.51	194.31	196.1	196.53	200	201.29	194
200	M200x4	M200x4	4	6g	199.9	199.5	197.3	197.1	195.61	194.6	6H	195.67	196.27	197.4	197.78	200	200.95	196
200	M200x3	M200x3	3	6g	200	199.6	198	197.8	196.7	195.91	6H	196.75	197.25	198.05	198.39	200	200.77	197
200	M200x2	M200x2	2	6g	200	199.7	198.7	198.5	197.8	197.22	6H	197.84	198.21	198.7	198.98	200	200.57	198
205	M205x6	M205x6	6	6g	204.9	204.3	201	200.7	198.43	197.01	6H	198.51	199.31	201.1	201.53	205	206.29	199
205	M205x4	M205x4	4	6g	204.9	204.5	202.3	202.1	200.61	199.6	6H	200.67	201.27	202.4	202.78	205	205.95	201
205	M205x3	M205x3	3	6g	205	204.6	203	202.8	201.7	200.91	6H	201.75	202.25	203.05	203.39	205	205.77	202
205	M205x2	M205x2	2	6g	205	204.7	203.7	203.5	202.8	202.22	6H	202.84	203.21	203.7	203.98	205	205.57	203
210	M210x8	M210x8	8	6g	209.9	209.2	204.7	204.3	201.24	199.42	6H	201.34	202.34	204.8	205.28	210	211.63	202
210	M210x6	M210x6	6	6g	209.9	209.3	206	205.7	203.43	202.01	6H	203.51	204.31	206.1	206.53	210	211.29	204
210	M210x4	M210x4	4	6g	209.9	209.5	207.3	207.1	205.61	204.6	6H	205.67	206.27	207.4	207.78	210	210.95	206
210	M210x3	M210x3	3	6g	210	209.6	208	207.8	206.7	205.91	6H	206.75	207.25	208.05	208.39	210	210.77	207
210	M210x2	M210x2	2	6g	210	209.7	208.7	208.5	207.8	207.22	6H	207.84	208.21	208.7	208.98	210	210.57	208
215	M215x6	M215x6	6	6g	214.9	214.3	211	210.7	208.43	207.01	6H	208.51	209.31	211.1	211.53	215	216.29	209
215	M215x4	M215x4	4	6g	214.9	214.5	212.3	212.1	210.61	209.6	6H	210.67	211.27	212.4	212.78	215	215.95	211
215	M215x3	M215x3	3	6g	215	214.6	213	212.8	211.7	210.91	6H	211.75	212.25	213.05	213.39	215	215.77	212
220	M220x8	M220x8	8	6g	219.9	219.2	214.7	214.3	211.24	209.42	6H	211.34	212.34	214.8	215.28	220	221.63	212
220	M220x6	M220x6	6	6g	219.9	219.3	216	215.7	213.43	212.01	6H	213.51	214.31	216.1	216.53	220	221.29	214
220	M220x4	M220x4	4	6g	219.9	219.5	217.3	217.1	215.61	214.6	6H	215.67	216.27	217.4	217.78	220	220.95	216
220	M220x3	M220x3	3	6g	220	219.6	218	217.8	216.7	215.91	6H	216.75	217.25	218.05	218.39	220	220.77	217
220	M220x2	M220x2	2	6g	220	219.7	218.7	218.5	217.8	217.22	6H	217.84	218.21	218.7	218.98	220	220.57	218
225	M225x6	M225x6	6	6g	224.9	224.5	221	220.7	218.43	217.01	6H	218.51	219.31	221.1	221.53	225	226.29	219
225	M225x4	M225x4	4	6g	224.9	224.5	222.3	222.1	220.61	219.6	6H	220.67	221.27	222.4	222.78	225	225.95	221
225	M225x3	M225x3	3	6g	225	224.6	223	222.8	221.7	220.91	6H	221.75	222.25	223.05	223.39	225	225.77	222
225	M225x2	M225x2	2	6g	225	224.7	223.7	223.5	222.8	222.22	6H	222.84	223.21	223.7	223.98	225	225.57	223
230	M230x6	M230x6	6	6g	229.9	229.3	226	225.7	223.43	222.01	6H	223.51	224.31	226.1	226.53	230	231.29	224
230	M230x4	M230x4	4	6g	229.9	229.5	227.3	227.1	225.61	224.6	6H	225.67	226.27	227.4	227.78	230	230.95	226
230	M230x3	M230x3	3	6g	230	229.6	228	227.8	226.7	225.91	6H	226.75	227.25	228.05	228.39	230	230.77	227
230	M230x2	M230x2	2	6g	230	229.7	228.7	228.5	227.8	227.22	6H	227.84	228.21	228.7	228.98	230	230.57	228
235	M235x6	M235x6	6	6g	234.9	234.3	231	230.7	228.43	226.97	6H	228.51	229.31	231.1	231.58	235	236.34	229
235	M235x4	M235x4	4	6g	234.9	234.5	232.3	232.1	230.61	229.6	6H	230.67	231.27	232.4	232.78	235	235.95	231
235	M235x3	M235x3	3	6g	235	234.6	233	232.8	231.7	230.91	6H	231.75	232.25	233.05	233.39	235	235.77	232
240	M240x8	M240x8	8	6g	239.9	239.2	234.7	234.3	231.24	229.42	6H	231.34	232.34	234.8	235.28	240	241.63	232
240	M240x6	M240x6	6	6g	239.9	239.3	236	235.7	233.43	232.01	6H	233.51	234.31	236.1	236.53	240	241.29	234
240	M240x4	M240x4	4	6g	239.9	239.5	237.3	237.1	235.61	234.6	6H	235.67	236.27	237.4	237.78	240	240.95	236
240	M240x3	M240x3	3	6g	240	239.6	238	237.8	236.7	235.91	6H	236.75	237.25	238.05	238.39	240	240.77	237
240	M240x2	M240x2	2	6g	240	239.7	238.7	238.5	237.8	237.22	6H	237.84	238.21	238.7	238.98	240	240.57	238
245	M245x6	M245x6	6	6g	244.9	244.3	241	240.7	238.43	237.01	6H	238.51	239.31	241.1	241.53	245	246.29	239
245	M245x4	M245x4	4	6g	244.9	244.5	242.3	242.1	240.61	239.6	6H	240.67	241.27	242.4	242.78	245	245.95	241
245	M245x3	M245x3	3	6g	245	244.6	243	242.8	241.7	240.91	6H	241.75	242.25	243.05	243.39	245	245.77	242
245	M245x2	M245x2	2	6g	245	244.7	243.7	243.5	242.8	242.22	6H	242.84	243.21	243.7	243.98	245	245.57	243
250	M250x8	M250x8	8	6g	249.9	249.2	244.7	244.3	241.24	239.42	6H	241.34	242.34	244.8	245.28	250	251.63	242
250	M250x6	M250x6	6	6g	249.9	249.3	246	245.7	243.43	242.01	6H	243.51	244.31	246.1	246.53	250	251.29	244
250	M250x4	M250x4	4	6g	249.9	249.5	247.3	247.1	245.61	244.6	6H	245.67	246.27	247.4	247.78	250	250.95	246
250	M250x3	M250x3	3	6g	250	249.6	248	247.8	246.7	245.91	6H	246.75	247.25	248.05	248.39	250	250.77	247
250	M250x2	M250x2	2	6g	250	249.7	248.7	248.5	247.8	247.22	6H	247.84	248.21	248.7	248.98	250	250.57	248
255	M255x6	M255x6	6	6g	254.9	254.3	251	250.7	248.43	246.97	6H	248.51	249.31	251.1	251.58	255	256.34	249
255	M255x4	M255x4	4	6g	254.9	254.5	252.3	252.1	250.61	249.6	6H	250.67	251.27	252.4	252.78	255	255.95	251
255	M255x3	M255x3	3	6g	255	254.6	253	252.8	251.7	250.91	6H	251.75	252.25	253.05	253.39	255	255.77	252
260	M260x8	M260x8	8	6g	259.9	259.2	254.7	254.3	251.24	249.42	6H	251.34	252.34	254.8	255.28	260	261.63	252
260	M260x6	M260x6	6	6g	259.9	259.3	256	255.7	253.43	252.01	6H	253.51	254.31	256.1	256.53	260	261.29	254
260	M260x4	M260x4	4	6g	259.9	259.5	257.3	257.1	255.61	254.6	6H	255.67	256.27	257.4	257.78	260	260.95	256
260	M260x3	M260x3	3	6g	260	259.6	258	257.8	256.7	255.91	6H	256.75	257.25	258.05	258.39	260	260.77	257
265	M265x6	M265x6	6	6g	264.9	264.3	261	260.7	258.43	257.01	6H	258.51	259.31	261.1	261.53	265	266.29	259
265	M265x4	M265x4	4	6g	264.9	264.5	262.3	262.1	260.61	259.6	6H	260.67	261.27	262.4	262.78	265	265.95	261
265	M265x3	M265x3	3	6g	265	264.6	263	262.8	261.7	260.91	6H	261.75	262.25	263.05	263.39	265	265.77	262
270	M270x6	M270x6	6	6g	269.9	269.3	266	265.7	263.43	262.01	6H	263.51	264.31	266.1	266.53	270	271.29	264
270	M270x4	M270x4	4	6g	269.9	269.5	267.3	267.1	265.61	264.6	6H	265.67	266.27	267.4	267.78	270	270.95	266
270	M270x3	M270x3	3	6g	270	269.6	268	267.8	266.7	265.91	6H	266.75	267.25	268.05	268.39	270	270.77	267
275	M275x6	M275x6	6	6g	274.9	274.3	271	270.7	268.43	267.01	6H	268.51	269.31	271.1	271.53	275	276.29	269
275	M275x4	M275x4	4	6g	274.9	274.5	272.3	272.1	270.61	269.6	6H	270.67	271.27	272.4	272.78	275	275.95	271
275	M275x3	M275x3	3	6g	275	274.6	273	272.8	271.7	270.91	6H	271.75	272.25	273.05	273.39	275	275.77	272
280	M280x8	M280x8	8	6g	279.9	279.2	274.7	274.3	271.24	269.42	6H	271.34	272.34	274.8	275.28	280	281.63	272
280	M280x6	M280x6	6	6g	279.9	279.3	276	275.7	273.43	272.01	6H	273.51	274.31	276.1	276.53	280	281.29	274
280	M280x4	M280x4	4	6g	279.9	279.5	277.3	277.1	275.61	274.6	6H	275.67	276.27	277.4	277.78	280	280.95	276
280	M280x3	M280x3	3	6g	280	279.6	278	277.8	276.7	275.91	6H	276.75	277.25	278.05	278.39	280	280.77	277
285	M285x6	M285x6	6	6g	284.9	284.3	281	280.7	278.43	277.01	6H	278.51	279.31	281.1	281.53	285	286.29	279
285	M285x4	M285x4	4	6g	284.9	284.5	282.3	282.1	280.61	279.6	6H	280.67	281.27	282.4	282.78	285	285.95	281
285	M285x3	M285x3	3	6g	285	284.6	283	282.8	281.7	280.91	6H	281.75	282.25	283.05	283.39	285	285.77	282
290	M290x6	M290x6	6	6g	289.9	289.3	286	285.7	283.43	282.01	6H	283.51	284.31	286.1	286.53	290	291.29	284
290	M290x4	M290x4	4	6g	289.9	289.5	287.3	287.1	285.61	284.6	6H	285.67	286.27	287.4	287.78	290	290.95	286
290	M290x3	M290x3	3	6g	290	289.6	288	287.8	286.7	285.91	6H	286.75	287.25	288.05	288.39	290	290.77	287
295	M295x6	M295x6	6	6g	294.9	294.3	291	290.7	288.43	287.01	6H	288.51	289.31	291.1	291.53	295	296.29	289
295	M295x4	M295x4	4	6g	294.9	294.5	292.3	292.1	290.61	289.6	6H	290.67	291.27	292.4	292.78	295	295.95	291
295	M295x3	M295x3	3	6g	295	294.6	293	292.8	291.7	290.91	6H	291.75	292.25	293.05	293.39	295	295.77	292
300	M300x8	M300x8	8	6g	299.9	299.2	294.7	294.3	291.24	289.42	6H	291.34	292.34	294.8	295.28	300	301.63	292
300	M300x6	M300x6	6	6g	299.9	299.3	296	295.7	293.43	292.01	6H	293.51	294.31	296.1	296.53	300	301.29	294
300	M300x4	M300x4	4	6g	299.9	299.5	297.3	297.1	295.61	294.6	6H	295.67	296.27	297.4	297.78	300	300.95	296
300	M300x3	M300x3	3	6g	300	299.6	298	297.8	296.7	295.91	6H	296.75	297.25	298.05	298.39	300	300.77	297
310	M310x6	M310x6	6	6g	309.9	309.3	306	305.7	303.43	302.01	6H	303.51	304.31	306.1	306.53	310	311.29	304
310	M310x4	M310x4	4	6g	309.9	309.5	307.3	307.1	305.61	304.6	6H	305.67	306.27	307.4	307.78	310	310.95	306
320	M320x6	M320x6	6	6g	319.9	319.3	316	315.7	313.43	312.01	6H	313.51	314.31	316.1	316.53	320	321.29	314
320	M320x4	M320x4	4	6g	319.9	319.5	317.3	317.1	315.61	314.6	6H	315.67	316.27	317.4	317.78	320	320.95	316
330	M330x6	M330x6	6	6g	329.9	329.3	326	325.7	323.43	322.01	6H	323.51	324.31	326.1	326.53	330	331.29	324
330	M330x4	M330x4	4	6g	329.9	329.5	327.3	327.1	325.61	324.6	6H	325.67	326.27	327.4	327.78	330	330.95	326
340	M340x6	M340x6	6	6g	339.9	339.3	336	335.7	333.43	332.01	6H	333.51	334.31	336.1	336.53	340	341.29	334
340	M340x4	M340x4	4	6g	339.9	339.5	337.3	337.1	335.61	334.6	6H	335.67	336.27	337.4	337.78	340	340.95	336
350	M350x6	M350x6	6	6g	349.9	349.3	346	345.7	343.43	342.01	6H	343.51	344.31	346.1	346.53	350	351.29	344
350	M350x4	M350x4	4	6g	349.9	349.5	347.3	347.1	345.61	344.6	6H	345.67	346.27	347.4	347.78	350	350.95	346
360	M360x6	M360x6	6	6g	359.9	359.3	356	355.7	353.43	351.97	6H	353.51	354.31	356.1	356.58	360	361.34	354
360	M360x4	M360x4	4	6g	359.9	359.5	357.3	357	355.61	354.58	6H	355.67	356.27	357.4	357.8	360	360.98	356
370	M370x6	M370x6	6	6g	369.9	369.3	366	365.7	363.43	361.97	6H	363.51	364.31	366.1	366.58	370	371.34	364
370	M370x4	M370x4	4	6g	369.9	369.5	367.3	367	365.61	364.58	6H	365.67	366.27	367.4	367.8	370	370.98	366
380	M380x6	M380x6	6	6g	379.9	379.3	376	375.7	373.43	371.97	6H	373.51	374.31	376.1	376.58	380	381.34	374
380	M380x4	M380x4	4	6g	379.9	379.5	377.3	377	375.61	374.58	6H	375.67	376.27	377.4	377.8	380	380.98	376
390	M390x6	M390x6	6	6g	389.9	389.3	386	385.7	383.43	381.97	6H	383.51	384.31	386.1	386.58	390	391.34	384
390	M390x4	M390x4	4	6g	389.9	389.5	387.3	387	385.61	384.58	6H	385.67	386.27	387.4	387.8	390	390.98	386
400	M400x6	M400x6	6	6g	399.9	399.3	396	395.7	393.43	391.97	6H	393.51	394.31	396.1	396.58	400	401.34	394
400	M400x4	M400x4	4	6g	399.9	399.5	397.3	397	395.61	394.58	6H	395.67	396.27	397.4	397.8	400	400.98	396
410	M410x6	M410x6	6	6g	409.9	409.3	406	405.7	403.43	401.97	6H	403.51	404.31	406.1	406.58	410	411.34	404
420	M420x6	M420x6	6	6g	419.9	419.3	416	415.7	413.43	411.97	6H	413.51	414.31	416.1	416.58	420	421.34	414
430	M430x6	M430x6	6	6g	429.9	429.3	426	425.7	423.43	421.97	6H	423.51	424.31	426.1	426.58	430	431.34	424
440	M440x6	M440x6	6	6g	439.9	439.3	436	435.7	433.43	431.97	6H	433.51	434.31	436.1	436.58	440	441.34	434
450	M450x6	M450x6	6	6g	449.9	449.3	446	445.7	443.43	441.97	6H	443.51	444.31	446.1	446.58	450	451.34	444
460	M460x6	M460x6	6	6g	459.9	459.3	456	455.7	453.43	451.97	6H	453.51	454.31	456.1	456.58	460	461.34	454
470	M470x6	M470x6	6	6g	469.9	469.3	466	465.7	463.43	461.97	6H	463.51	464.31	466.1	466.58	470	471.34	464
480	M480x6	M480x6	6	6g	479.9	479.3	476	475.7	473.43	471.97	6H	473.51	474.31	476.1	476.58	480	481.34	474
490	M490x6	M490x6	6	6g	489.9	489.3	486	485.7	483.43	481.97	6H	483.51	484.31	486.1	486.58	490	491.34	484
500	M500x6	M500x6	6	6g	499.9	499.3	496	495.7	493.43	491.97	6H	493.51	494.31	496.1	496.58	500	501.34	494
510	M510x6	M510x6	6	6g	509.9	509.3	506	505.7	503.43	501.97	6H	503.51	504.31	506.1	506.58	510	511.34	504
520	M520x6	M520x6	6	6g	519.9	519.3	516	515.7	513.43	511.97	6H	513.51	514.31	516.1	516.58	520	521.34	514
530	M530x6	M530x6	6	6g	529.9	529.3	526	525.7	523.43	521.97	6H	523.51	524.31	526.1	526.58	530	531.34	524
540	M540x6	M540x6	6	6g	539.9	539.3	536	535.7	533.43	531.97	6H	533.51	534.31	536.1	536.58	540	541.34	534
550	M550x6	M550x6	6	6g	549.9	549.3	546	545.7	543.43	541.97	6H	543.51	544.31	546.1	546.58	550	551.34	544
560	M560x6	M560x6	6	6g	559.9	559.3	556	555.7	553.43	551.97	6H	553.51	554.31	556.1	556.58	560	561.34	554
570	M570x6	M570x6	6	6g	569.9	569.3	566	565.7	563.43	561.97	6H	563.51	564.31	566.1	566.58	570	571.34	564
580	M580x6	M580x6	6	6g	579.9	579.3	576	575.7	573.43	571.97	6H	573.51	574.31	576.1	576.58	580	581.34	574
590	M590x6	M590x6	6	6g	589.9	589.3	586	585.7	583.43	581.97	6H	583.51	584.31	586.1	586.58	590	591.34	584
600	M600x6	M600x6	6	6g	599.9	599.3	596	595.7	593.43	591.97	6H	593.51	594.31	596.1	596.58	600	601.34	594
